oil,DATE_year,DATE_month,DATE_day,gold,coffee,corn,cotton,lumber,wheat,snp
46.9,2015,7,31,"1,094.53",125.25,371.0,64.07,252.1,498.13,2103.840088
45.43,2015,8,3,"1,086.13",123.95,366.5,63.82,260.3,500.88,2098.040039
45.82,2015,8,4,"1,082.90",124.9,368.75,63.53,258.7,493.75,2093.320068
45.24,2015,8,5,"1,083.20",125.9,372.75,63.45,261.3,502.63,2099.840088
44.76,2015,8,6,"1,089.60",124.25,369.75,62.33,260.8,507.13,2083.560059
43.85,2015,8,7,"1,094.20",127.8,372.75,61.72,259.0,510.63,2077.570068
44.77,2015,8,10,"1,096.50",133.5,390.25,61.8,259.1,523.63,2104.179932
44.2,2015,8,11,"1,109.03",137.2,376.5,61.83,250.1,507.13,2084.070068
44.08,2015,8,12,"1,126.60",131.85,357.25,64.69,253.2,493.75,2086.050049
42.97,2015,8,13,"1,115.05",137.05,363.75,65.44,255.9,503.38,2083.389893
42.68,2015,8,14,"1,113.70",137.5,364.0,66.12,252.7,505.88,2091.540039
42.42,2015,8,17,"1,114.30",134.75,363.25,66.73,251.1,500.63,2102.439941
42.86,2015,8,18,"1,118.00",135.3,366.25,66.7,250.6,495.5,2096.919922
41.01,2015,8,19,"1,136.60",131.15,367.25,66.65,256.1,496.25,2079.610107
40.84,2015,8,20,"1,163.00",127.65,371.0,66.97,255.4,504.13,2035.72998
40.36,2015,8,21,"1,160.15",121.9,365.25,66.94,245.4,499.38,1970.890015
38.13,2015,8,24,"1,155.15",117.5,368.75,64.09,240.1,504.25,1893.209961
38.86,2015,8,25,"1,140.65",117.05,365.5,63.44,245.1,496.5,1867.609985
38.97,2015,8,26,"1,125.55",118.7,361.75,62.45,242.5,491.0,1940.5100100000002
41.88,2015,8,27,"1,125.85",121.05,363.75,63.27,246.9,484.75,1987.660034
45.38,2015,8,28,"1,133.98",120.45,363.25,63.14,237.1,477.63,1988.869995
48.53,2015,8,31,"1,134.50",120.55,363.75,62.8,234.2,485.38,1972.180054
45.22,2015,9,1,"1,140.00",117.05,356.0,62.63,235.0,485.63,1913.8499760000002
46.04,2015,9,2,"1,134.05",114.7,354.0,62.42,234.0,479.13,1948.859985
46.87,2015,9,3,"1,122.00",116.2,347.75,62.74,232.9,464.88,1951.130005
46.03,2015,9,4,"1,123.00",115.85,349.5,62.6,233.2,467.13,1921.219971
45.9,2015,9,8,"1,121.80",117.7,355.0,63.28,231.7,475.13,1969.410034
44.33,2015,9,9,"1,106.10",117.8,356.5,63.12,232.1,472.63,1942.040039
45.7,2015,9,10,"1,111.65",113.05,361.75,63.06,241.8,478.13,1952.290039
45.32,2015,9,11,"1,107.90",113.35,374.5,63.34,247.5,485.13,1961.050049
44.49,2015,9,14,"1,108.80",117.0,379.0,62.71,246.3,501.38,1953.030029
45.11,2015,9,15,"1,105.40",115.5,390.5,62.47,252.7,494.88,1978.089966
47.54,2015,9,16,"1,119.55",113.8,386.0,62.62,242.5,488.88,1995.310059
47.14,2015,9,17,"1,130.85",113.5,379.75,62.37,234.3,480.88,1990.199951
45.22,2015,9,18,"1,139.40",113.35,377.25,60.47,231.8,486.63,1958.030029
46.6,2015,9,21,"1,133.40",117.25,384.5,60.55,228.7,496.63,1966.969971
46.2,2015,9,22,"1,124.65",115.45,380.5,59.9,224.2,495.38,1942.7399899999998
44.69,2015,9,23,"1,130.40",116.2,383.25,59.88,217.3,507.63,1938.7600100000002
45.14,2015,9,24,"1,153.05",118.3,381.5,60.03,216.9,497.13,1932.2399899999998
45.56,2015,9,25,"1,145.80",122.7,389.0,60.49,216.6,508.13,1931.339966
44.48,2015,9,28,"1,132.05",119.15,386.75,60.67,216.2,506.13,1881.77002
45.21,2015,9,29,"1,127.25",120.85,389.0,60.84,220.4,503.88,1884.089966
45.46,2015,9,30,"1,115.00",121.35,387.75,60.53,229.2,512.25,1920.030029
45.09,2015,10,1,"1,114.08",120.75,388.75,60.49,224.6,518.0,1923.819946
45.69,2015,10,2,"1,138.13",124.3,389.25,60.41,221.4,512.63,1951.359985
46.41,2015,10,5,"1,135.75",127.55,393.5,61.7,224.3,515.88,1987.050049
48.71,2015,10,6,"1,153.90",128.1,398.25,61.98,232.2,525.88,1979.9200440000002
48.19,2015,10,7,"1,155.00",126.05,395.75,62.38,235.4,516.63,1995.8299559999998
49.68,2015,10,8,"1,154.00",128.45,391.25,61.65,237.5,511.13,2013.430054
50.03,2015,10,9,"1,157.53",131.6,382.75,61.93,244.4,508.13,2014.890015
47.92,2015,10,12,"1,169.90",134.5,380.75,61.75,254.4,506.88,2017.459961
47.12,2015,10,13,"1,168.90",134.35,384.5,63.85,258.6,518.88,2003.689941
47.15,2015,10,14,"1,185.73",134.65,379.0,63.78,257.0,508.38,1994.2399899999998
47.32,2015,10,15,"1,181.30",133.7,375.5,63.55,261.7,502.13,2023.859985
47.65,2015,10,16,"1,177.55",125.85,376.75,63.87,258.1,492.38,2033.109985
46.45,2015,10,19,"1,170.75",123.9,373.0,63.24,263.1,485.38,2033.660034
46.1,2015,10,20,"1,173.50",124.75,376.75,63.81,260.0,490.63,2030.77002
45.17,2015,10,21,"1,167.10",121.0,380.75,64.24,262.5,494.63,2018.939941
45.44,2015,10,22,"1,168.50",119.85,378.25,62.96,258.9,490.88,2052.51001
44.63,2015,10,23,"1,164.45",118.45,379.75,62.69,261.0,490.63,2075.149902
43.72,2015,10,26,"1,163.50",117.3,384.5,62.49,257.0,509.38,2071.179932
43.41,2015,10,27,"1,167.25",117.3,380.0,62.55,255.0,509.13,2065.889893
46.18,2015,10,28,"1,157.50",119.1,376.0,62.77,257.8,505.88,2090.350098
45.75,2015,10,29,"1,146.78",120.3,380.0,62.42,256.0,515.38,2089.409912
46.39,2015,10,30,"1,142.05",120.95,382.25,63.31,253.7,522.13,2079.360107
46.14,2015,11,2,"1,133.55",118.8,376.5,63.38,249.0,507.88,2104.050049
47.9,2015,11,3,"1,114.20",120.25,380.5,62.79,246.2,516.38,2109.790039
46.52,2015,11,4,"1,102.00",120.5,380.5,62.03,243.1,526.38,2102.310059
45.33,2015,11,5,"1,103.95",120.9,374.5,62.2,250.0,525.88,2099.929932
44.54,2015,11,6,"1,089.85",117.75,373.0,61.88,247.9,522.88,2099.199951
44.03,2015,11,9,"1,092.13",117.75,366.75,61.97,252.0,501.63,2078.580078
44.13,2015,11,10,"1,089.90",116.3,359.0,61.9,254.0,491.38,2081.719971
44.27,2015,11,11,"1,086.23",116.8,362.25,62.12,256.0,495.13,2075.0
42.94,2015,11,12,"1,086.60",115.3,362.0,61.83,255.7,497.63,2045.969971
42.02,2015,11,13,"1,083.70",112.15,358.25,61.42,251.0,496.13,2023.040039
43.12,2015,11,16,"1,083.03",114.35,360.0,61.54,242.1,493.88,2053.189941
41.85,2015,11,17,"1,070.25",114.25,362.0,61.56,239.2,487.75,2050.439941
41.98,2015,11,18,"1,070.80",112.75,361.75,61.57,238.7,483.38,2083.580078
41.76,2015,11,19,"1,082.20",119.9,364.25,61.83,243.3,490.38,2081.23999
41.59,2015,11,20,"1,078.80",121.9,363.25,60.47,252.4,489.13,2089.169922
41.88,2015,11,23,"1,065.00",119.95,367.25,61.76,249.7,497.38,2086.590088
42.87,2015,11,24,"1,075.78",122.45,364.25,62.0,248.6,488.13,2089.139893
43.11,2015,11,25,"1,080.00",122.9,366.0,63.34,250.0,487.63,2088.8701170000004
41.78,2015,11,27,"1,058.20",121.0,359.25,63.99,247.4,479.0,2090.110107
41.66,2015,11,30,"1,064.75",116.9,365.0,62.71,245.8,475.63,2080.409912
41.68,2015,12,1,"1,068.80",117.15,367.0,63.56,241.7,471.38,2102.6298829999996
40.15,2015,12,2,"1,063.95",117.8,364.0,63.51,240.8,467.13,2079.51001
41.15,2015,12,3,"1,054.00",122.05,370.25,63.93,244.9,478.38,2049.6201170000004
40.11,2015,12,4,"1,086.98",124.0,376.25,64.7,252.1,484.63,2091.689941
37.76,2015,12,7,"1,071.30",122.65,368.5,64.63,262.1,482.88,2077.070068
37.67,2015,12,8,"1,074.88",122.25,370.0,64.57,267.4,481.38,2063.590088
37.24,2015,12,9,"1,073.50",123.85,371.75,64.85,264.8,489.63,2047.619995
38.17,2015,12,10,"1,071.68",122.65,377.25,63.76,263.7,495.38,2052.22998
37.14,2015,12,11,"1,074.10",118.1,373.0,63.86,260.8,490.38,2012.369995
37.52,2015,12,14,"1,060.50",117.25,381.75,63.35,257.4,493.38,2021.939941
38.31,2015,12,15,"1,058.10",115.65,377.25,63.28,255.9,493.88,2043.410034
36.9,2015,12,16,"1,069.00",118.1,369.75,63.38,260.0,483.38,2073.070068
36.03,2015,12,17,"1,048.30",117.8,374.25,63.06,260.0,483.88,2041.890015
35.88,2015,12,18,"1,066.00",118.45,374.5,63.79,267.4,486.13,2005.550049
35.78,2015,12,21,"1,079.80",117.5,372.0,63.2,269.5,479.13,2021.1500239999998
36.16,2015,12,22,"1,072.40",119.15,366.25,63.15,268.6,471.63,2038.969971
37.83,2015,12,23,"1,067.80",120.95,365.5,62.82,267.6,469.63,2064.290039
38.08,2015,12,24,"1,076.05",119.7,364.5,63.62,266.6,468.0,2060.98999
36.72,2015,12,28,"1,065.90",119.15,361.0,64.03,259.5,466.63,2056.5
37.88,2015,12,29,"1,067.30",121.45,362.5,63.91,256.5,475.88,2078.360107
36.73,2015,12,30,"1,063.20",123.65,359.0,63.94,256.9,469.63,2063.360107
36.98,2015,12,31,"1,060.83",126.7,358.75,63.31,257.6,469.38,2043.939941
36.89,2016,1,4,"1,074.20",123.9,351.5,62.59,254.4,458.38,2012.660034
35.8,2016,1,5,"1,077.35",123.0,353.0,62.69,256.5,461.38,2016.709961
33.98,2016,1,6,"1,093.58",119.95,353.25,62.13,255.5,462.63,1990.2600100000002
33.25,2016,1,7,"1,108.40",118.45,353.0,61.36,250.5,468.38,1943.089966
34.08,2016,1,8,"1,104.10",119.0,357.0,61.49,257.0,478.38,1922.030029
32.22,2016,1,11,"1,092.80",114.45,351.75,61.43,256.8,469.13,1923.6700440000002
31.94,2016,1,12,"1,087.20",114.35,356.75,61.6,256.2,481.38,1938.680054
31.66,2016,1,13,"1,096.00",114.8,358.0,62.03,255.0,477.88,1890.280029
32.1,2016,1,14,"1,078.30",115.9,358.0,61.96,255.0,468.88,1921.839966
30.6,2016,1,15,"1,088.95",114.9,363.25,61.37,257.7,473.38,1880.3299559999998
29.56,2016,1,19,"1,082.20",115.65,367.75,62.44,248.4,474.38,1881.3299559999998
28.63,2016,1,20,"1,100.50",111.6,368.75,61.85,238.4,471.63,1859.3299559999998
29.76,2016,1,21,"1,106.20",114.4,367.0,62.15,239.3,475.38,1868.9899899999998
32.27,2016,1,22,"1,097.68",116.0,370.25,62.34,234.4,475.38,1906.9000239999998
29.76,2016,1,25,"1,108.10",116.45,369.75,61.47,233.3,481.13,1877.0799559999998
31.23,2016,1,26,"1,120.05",116.7,369.25,61.27,236.2,485.13,1903.630005
31.95,2016,1,27,"1,124.20",118.2,369.25,60.88,242.7,476.38,1882.949951
33.77,2016,1,28,"1,120.00",119.15,365.5,61.35,241.6,472.13,1893.359985
33.63,2016,1,29,"1,118.18",116.35,372.0,60.99,240.4,479.38,1940.2399899999998
31.38,2016,2,1,"1,129.00",117.75,371.25,61.63,240.9,475.63,1939.380005
29.88,2016,2,2,"1,128.98",119.85,372.5,62.14,248.7,475.38,1903.030029
32.51,2016,2,3,"1,142.50",121.55,371.0,61.83,251.9,479.88,1912.530029
31.75,2016,2,4,"1,160.00",123.2,368.5,60.29,250.4,472.63,1915.449951
31.03,2016,2,5,"1,173.40",120.4,365.75,59.98,252.8,466.63,1880.050049
30.11,2016,2,8,"1,189.23",115.75,362.25,59.7,251.4,458.38,1853.439941
28.49,2016,2,9,"1,188.95",114.75,361.0,58.53,250.7,457.38,1852.209961
29.72,2016,2,10,"1,197.80",114.75,360.25,58.88,248.6,461.13,1851.859985
30.02,2016,2,11,"1,246.60",113.0,360.25,58.22,245.9,458.38,1829.0799559999998
31.24,2016,2,12,"1,237.10",115.55,358.75,58.76,246.5,457.38,1864.780029
31.21,2016,2,16,"1,197.95",114.9,363.0,59.51,249.3,464.38,1895.5799559999998
32.92,2016,2,17,"1,233.50",114.55,367.25,59.72,253.3,468.88,1926.819946
32.5,2016,2,18,"1,231.50",114.15,365.5,59.89,263.1,462.38,1917.8299559999998
32.08,2016,2,19,"1,227.85",115.75,365.5,60.13,262.6,461.88,1917.780029
33.44,2016,2,22,"1,207.00",119.85,367.5,58.84,264.2,463.88,1945.5
31.86,2016,2,23,"1,227.28",117.8,362.0,57.95,261.7,455.88,1921.27002
32.26,2016,2,24,"1,229.55",115.05,359.75,57.41,259.1,451.38,1929.800049
33.02,2016,2,25,"1,245.80",114.65,355.5,57.77,258.0,453.12,1951.699951
32.97,2016,2,26,"1,222.75",113.0,354.5,57.46,253.8,452.12,1948.050049
33.82,2016,2,29,"1,228.03",112.65,353.5,56.55,254.0,452.88,1932.22998
34.38,2016,3,1,"1,223.45",112.5,353.75,56.17,252.5,446.12,1978.3499760000002
34.9,2016,3,2,"1,240.10",113.35,354.5,56.11,254.8,450.12,1986.449951
34.69,2016,3,3,"1,270.10",115.6,353.75,56.41,271.3,459.12,1993.4000239999998
36.23,2016,3,4,"1,258.05",118.8,354.5,57.12,275.7,461.38,1999.9899899999998
37.96,2016,3,7,"1,267.75",118.65,355.0,57.36,278.7,463.13,2001.7600100000002
36.25,2016,3,8,"1,260.00",120.2,358.75,56.95,280.6,465.13,1979.2600100000002
38.24,2016,3,9,"1,253.00",120.85,359.0,56.62,276.5,468.12,1989.2600100000002
39.53,2016,3,10,"1,279.50",120.6,362.5,56.87,277.7,476.38,1989.569946
40.1,2016,3,11,"1,245.75",124.4,366.0,57.16,288.1,475.88,2022.189941
39.06,2016,3,14,"1,235.60",125.6,366.75,58.22,284.1,478.62,2019.640015
38.52,2016,3,15,"1,233.03",124.1,368.5,58.14,275.0,477.12,2015.930054
40.09,2016,3,16,"1,259.90",127.4,368.25,58.3,297.0,470.62,2027.219971
41.67,2016,3,17,"1,259.48",132.0,368.5,58.34,300.3,462.38,2040.589966
41.16,2016,3,18,"1,255.38",133.85,367.0,57.11,297.1,463.38,2049.580078
41.63,2016,3,21,"1,243.73",131.55,369.5,58.13,307.1,466.38,2051.600098
39.8,2016,3,23,"1,223.23",131.1,368.5,58.36,303.5,463.38,2036.709961
36.72,2016,4,1,"1,222.45",127.25,354.0,59.2,300.7,475.5,2072.780029
35.96,2016,4,4,"1,213.90",122.8,354.5,58.94,292.6,474.5,2066.1298829999996
35.6,2016,4,5,"1,221.60",120.9,356.75,58.92,288.7,473.5,2045.1700440000002
37.56,2016,4,6,"1,226.00",121.5,358.0,58.7,293.8,463.25,2066.659912
37.05,2016,4,7,"1,240.85",119.8,361.5,58.94,293.3,457.25,2041.910034
39.29,2016,4,8,"1,240.60",120.45,362.25,60.05,290.5,461.5,2047.5999760000002
40.13,2016,4,11,"1,257.95",123.35,356.75,60.69,291.2,447.0,2041.9899899999998
41.94,2016,4,12,"1,253.20",124.6,362.75,61.44,296.7,453.5,2061.719971
42.02,2016,4,13,"1,240.00",121.75,373.5,61.66,293.0,464.25,2082.419922
41.74,2016,4,14,"1,223.88",123.15,374.0,60.66,287.9,458.5,2082.780029
40.55,2016,4,15,"1,237.35",122.95,378.5,60.04,280.5,460.25,2080.72998
39.73,2016,4,18,"1,231.55",124.0,381.0,62.16,276.2,472.5,2094.340088
41.01,2016,4,19,"1,250.50",125.85,384.5,62.84,282.7,485.5,2100.800049
42.55,2016,4,20,"1,244.30",127.15,394.75,63.94,282.6,503.0,2102.399902
43.41,2016,4,21,"1,248.85",123.55,384.5,63.52,279.9,495.88,2091.47998
43.86,2016,4,22,"1,227.50",122.75,371.75,64.23,281.4,467.25,2091.580078
43.85,2016,4,25,"1,234.80",123.1,377.0,63.96,286.9,476.75,2087.790039
44.01,2016,4,26,"1,242.60",125.25,382.25,63.86,286.2,488.25,2091.699951
44.6,2016,4,27,"1,246.58",121.05,380.75,64.19,296.2,482.75,2095.149902
46.06,2016,4,28,"1,266.28",120.4,387.0,63.69,300.5,485.75,2075.810059
45.39,2016,4,29,"1,279.50",120.85,390.25,63.89,295.6,489.25,2065.300049
44.68,2016,5,2,"1,298.70",119.1,390.25,64.36,294.5,487.12,2081.429932
43.39,2016,5,3,"1,286.00",118.6,378.25,63.02,288.8,472.0,2063.3701170000004
43.42,2016,5,4,"1,270.00",119.1,373.25,62.96,291.0,473.0,2051.1201170000004
44.17,2016,5,5,"1,278.50",120.9,371.75,62.06,296.4,463.75,2050.6298829999996
44.69,2016,5,6,"1,288.70",123.45,376.0,61.94,296.5,464.5,2057.139893
43.62,2016,5,9,"1,263.80",125.15,367.75,61.38,304.7,456.25,2058.689941
44.5,2016,5,10,"1,266.40",126.9,378.5,61.02,308.0,462.25,2084.389893
